26041,08,10,19,24,02,17,13
26040,23,33,22,14,04,03,04
26039,18,21,25,17,08,30,05
26038,25,02,27,13,01,23,05
26037,22,31,33,11,29,27,12
26036,06,22,12,10,15,28,08
26035,12,06,25,02,24,32,02
26034,03,23,13,01,07,22,07
26033,06,29,13,28,03,21,06
26032,33,01,18,11,31,03,02
26031,13,10,33,12,18,03,08
26030,14,10,19,24,11,22,04
26029,06,22,23,28,31,19,05
26028,02,09,17,25,06,28,15
26027,13,17,02,25,18,26,13
26026,02,25,09,29,16,22,03
26025,24,23,15,02,20,03,10
26024,21,02,13,29,01,23,14
26023,03,08,29,01,10,23,06
26022,32,15,28,23,25,18,11
26021,30,26,13,31,25,03,04
26020,13,24,01,30,21,14,02
26019,17,08,18,16,30,07,01
26018,22,11,17,30,15,25,07
26017,05,29,01,03,18,32,04
26016,10,09,04,27,05,30,13
26015,07,22,27,13,10,31,12
26014,22,26,19,07,32,13,01
26013,13,16,20,12,09,04,01
26012,20,05,03,16,07,24,08
26011,03,32,02,04,31,20,04
26010,26,19,15,09,10,04,12
26009,23,13,19,25,03,06,10
26008,09,27,33,16,06,31,10
26007,30,27,29,13,09,19,01
26006,22,23,02,28,06,24,15
26005,20,27,30,22,33,01,10
26004,09,32,18,03,07,08,10
26003,21,05,09,06,30,28,16
26002,05,18,07,30,01,32,02
26001,33,13,06,12,11,02,15
25151,28,08,22,09,14,30,04
25150,17,31,13,19,24,06,08
25149,01,06,30,04,22,02,10
25148,09,03,04,15,10,22,16
25147,01,03,08,05,33,22,08
25146,07,12,28,05,24,26,02
25145,12,11,15,25,32,18,14
25144,20,15,01,33,08,26,13
25143,15,13,02,24,09,12,03
25142,27,13,23,02,15,31,16
25141,12,04,10,13,05,02,06
25140,04,03,12,24,01,18,05
25139,33,17,30,05,02,22,06
25138,27,24,10,23,13,14,15
25137,08,23,02,27,11,29,05
25136,14,32,23,10,08,28,12
25135,05,32,01,09,02,25,10
25134,13,26,03,09,05,29,12
25133,20,33,17,14,05,19,07
25132,04,21,10,08,23,32,11
25131,24,03,18,14,13,31,03
25130,14,01,05,08,19,23,06
25129,30,07,13,20,03,04,03
25128,18,19,24,02,27,10,01
25127,19,03,28,17,15,09,03
25126,16,02,19,12,13,25,10
25125,03,13,32,26,09,12,09
25124,01,19,21,33,02,18,13
25123,24,07,26,09,23,25,10
25122,20,19,25,16,31,18,13
25121,25,08,29,06,30,10,08
25120,32,13,07,04,01,02,07
25119,06,26,23,32,28,09,11
25118,01,10,11,16,26,24,03
25117,20,25,33,08,17,06,10
25116,24,28,08,02,31,04,09
25115,30,03,02,24,19,08,02
25114,26,27,21,01,25,20,10
25113,31,08,13,15,10,24,16
25112,32,11,20,03,13,09,02
25111,28,31,18,09,14,33,12
25110,14,01,16,11,05,19,08
25109,31,18,06,05,17,09,03
25108,22,33,14,01,17,09,07
25107,33,02,25,15,10,03,13
25106,22,05,26,17,04,30,04
25105,26,18,24,04,07,28,08
25104,02,15,16,05,32,24,16
25103,28,25,21,13,16,31,16
